User,Search Pattern,Search Type,Start End,Start Time,End Time,Result Count,TheSaurus
mizutani,perfect-forward-backward,search box,1,2018-01-11 13:04:58 +0900,2018-01-11 13:04:58 +0900,0,0
mizutani,grep,search box,0,2018-01-11 13:05:03 +0900,2018-01-11 13:05:03 +0900,0,0
mizutani,grep,search box,1,2018-01-11 13:05:03 +0900,2018-01-11 13:05:03 +0900,0,0
mizutani,grep,search box,0,2018-01-11 13:05:06 +0900,2018-01-11 13:05:06 +0900,0,0
mizutani,grep,search box,1,2018-01-11 13:05:06 +0900,2018-01-11 13:05:37 +0900,1902,1
mizutani,grep,search box,0,2018-01-11 13:06:10 +0900,2018-01-11 13:06:10 +0900,0,0
mizutani,grep,search box,1,2018-01-11 13:06:10 +0900,2018-01-11 13:06:19 +0900,344,1
mizutani,grep,search box,0,2018-01-11 13:07:27 +0900,2018-01-11 13:07:27 +0900,0,0
mizutani,grep,search box,1,2018-01-11 13:07:27 +0900,2018-01-11 13:07:28 +0900,24,1
mizutani,grep,search box,0,2018-01-11 13:08:13 +0900,2018-01-11 13:08:13 +0900,0,0
mizutani,grep,search box,1,2018-01-11 13:08:13 +0900,2018-01-11 13:08:15 +0900,113,1
mizutani,grep,Narrow Term,0,2018-01-11 13:09:12 +0900,2018-01-11 13:09:12 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 13:09:12 +0900,2018-01-11 13:09:12 +0900,0,1
mizutani,grep,Broader Term,0,2018-01-11 13:09:15 +0900,2018-01-11 13:09:15 +0900,0,0
mizutani,grep,Broader Term,1,2018-01-11 13:09:15 +0900,2018-01-11 13:09:17 +0900,113,1
mizutani,grep,Narrow Term,0,2018-01-11 13:09:21 +0900,2018-01-11 13:09:21 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 13:09:21 +0900,2018-01-11 13:09:22 +0900,18,1
ftf,perfect-forward-backward,search box,0,2018-01-11 13:38:40 +0900,2018-01-11 13:38:40 +0900,0,0
ftf,perfect-forward-backward,search box,1,2018-01-11 13:38:40 +0900,2018-01-11 13:38:41 +0900,2,0
mizutani,perfect-forward-backward,search box,0,2018-01-11 13:55:32 +0900,2018-01-11 13:55:32 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 13:55:32 +0900,2018-01-11 13:55:33 +0900,3,0
mizutani,perfect-forward-backward,search box,0,2018-01-11 15:04:16 +0900,2018-01-11 15:04:16 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 15:04:16 +0900,2018-01-11 15:04:17 +0900,21,1
mizutani,perfect-forward-backward,search box,0,2018-01-11 15:17:19 +0900,2018-01-11 15:17:19 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 15:17:19 +0900,2018-01-11 15:17:19 +0900,12,1
mizutani,perfect-forward-backward,search box,0,2018-01-11 15:17:49 +0900,2018-01-11 15:17:49 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 15:17:49 +0900,2018-01-11 15:17:50 +0900,21,1
mizutani,perfect-forward-backward,Broader Term,0,2018-01-11 15:18:39 +0900,2018-01-11 15:18:39 +0900,0,0
mizutani,perfect-forward-backward,Broader Term,1,2018-01-11 15:18:39 +0900,2018-01-11 15:18:48 +0900,443,1
mizutani,perfect-forward-backward,search box,0,2018-01-11 15:23:24 +0900,2018-01-11 15:23:24 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 15:23:24 +0900,2018-01-11 15:23:25 +0900,15,1
mizutani,perfect-forward-backward,search box,0,2018-01-11 15:23:55 +0900,2018-01-11 15:23:55 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 15:23:55 +0900,2018-01-11 15:24:01 +0900,439,0
mizutani,perfect-forward-backward,search box,0,2018-01-11 15:24:31 +0900,2018-01-11 15:24:31 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 15:24:31 +0900,2018-01-11 15:24:32 +0900,21,1
mizutani,perfect-forward-backward,search box,0,2018-01-11 15:24:57 +0900,2018-01-11 15:24:57 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 15:24:57 +0900,2018-01-11 15:24:58 +0900,4,0
mizutani,perfect-forward-backward,search box,0,2018-01-11 15:25:27 +0900,2018-01-11 15:25:27 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 15:25:27 +0900,2018-01-11 15:25:28 +0900,21,1
mizutani,perfect-forward-backward,search box,0,2018-01-11 15:25:33 +0900,2018-01-11 15:25:33 +0900,0,0
mizutani,perfect-forward-backward,search box,1,2018-01-11 15:25:33 +0900,2018-01-11 15:25:36 +0900,107,1
mizutani,perfect-forward-backward,Narrow Term,0,2018-01-11 15:25:46 +0900,2018-01-11 15:25:46 +0900,0,0
